134218056,2680.10,1.34,1145.20,2679.99,1.34,1148.20
134218056,2679.99,1.34,1148.20,2680.10,1.34,1145.20
328,1827.46,0.00,2252.50,1837.14,0.00,2252.41
328,1837.14,0.00,2252.41,1827.46,0.00,2252.50
840,3547.44,0.00,1062.34,3529.45,0.00,1061.75
840,3529.45,0.00,1061.75,3547.44,0.00,1062.34
344,2255.76,0.00,2500.68,2252.40,0.00,2500.73
344,2252.40,0.00,2500.73,2255.76,0.00,2500.68
344,2176.67,0.00,1502.07,2176.67,0.00,1510.22
344,2176.67,0.00,1502.07,2171.06,0.01,1507.49
344,2176.67,0.00,1510.22,2176.67,0.00,1502.07
344,2176.67,0.00,1510.22,2171.06,0.01,1507.49
344,2171.06,0.01,1507.49,2176.67,0.00,1502.07
344,2171.06,0.01,1507.49,2176.67,0.00,1510.22
134218056,1987.07,-0.02,1188.03,1984.72,-0.02,1187.86,1973.54,-0.02,1186.58,1964.75,-0.02,1185.75,1956.59,-0.02,1184.91,1954.51,-0.02,1185.35,1951.35,-0.02,1186.66,1948.11,-0.02,1189.71,1947.37,-0.02,1191.80,1947.06,-0.02,1194.74,1946.60,-0.02,1207.65,1946.23,-0.02,1213.34,1944.67,-0.02,1231.63,1944.61,-0.02,1237.32,1945.55,-0.02,1239.66,1947.25,-0.02,1241.97,1949.37,-0.02,1242.83,1952.84,-0.02,1243.21,1965.87,-0.02,1243.91,1969.26,-0.02,1244.24,1974.83,-0.02,1245.16,1981.65,-0.02,1245.61,1984.26,-0.02,1244.76,1988.54,-0.02,1242.33,1992.16,-0.02,1240.21,1995.54,-0.02,1238.39,1999.80,-0.02,1237.69,2002.69,-0.02,1237.50,2006.12,-0.02,1238.23,2008.48,-0.02,1239.23,2010.82,-0.02,1241.05,2013.82,-0.02,1247.93
134218056,2013.82,-0.02,1247.93,2010.82,-0.02,1241.05,2008.48,-0.02,1239.23,2006.12,-0.02,1238.23,2002.69,-0.02,1237.50,1999.80,-0.02,1237.69,1995.54,-0.02,1238.39,1992.16,-0.02,1240.21,1988.54,-0.02,1242.33,1984.26,-0.02,1244.76,1981.65,-0.02,1245.61,1974.83,-0.02,1245.16,1969.26,-0.02,1244.24,1965.87,-0.02,1243.91,1952.84,-0.02,1243.21,1949.37,-0.02,1242.83,1947.25,-0.02,1241.97,1945.55,-0.02,1239.66,1944.61,-0.02,1237.32,1944.67,-0.02,1231.63,1946.23,-0.02,1213.34,1946.60,-0.02,1207.65,1947.06,-0.02,1194.74,1947.37,-0.02,1191.80,1948.11,-0.02,1189.71,1951.35,-0.02,1186.66,1954.51,-0.02,1185.35,1956.59,-0.02,1184.91,1964.75,-0.02,1185.75,1973.54,-0.02,1186.58,1984.72,-0.02,1187.86,1987.07,-0.02,1188.03
344,3810.08,0.41,2310.40,3808.97,0.41,2310.04
344,3810.08,0.41,2310.40,3809.44,0.43,2311.71
