wait_area_index,slot_index,x,y,z,forward_x,forward_z,urban_diversity_config_id
0,0,3547.8681640625,0.0,1064.4908447265625,-0.9994540810585022,-0.03303813934326172,88888240
0,1,3548.40283203125,0.0,1063.7581787109375,-0.9994540810585022,-0.03303813934326172,88888240
0,2,3547.917724609375,0.0,1062.99169921875,-0.9994540810585022,-0.03303813934326172,88888240
0,3,3548.452392578125,0.0,1062.2589111328125,-0.9994540810585022,-0.03303813934326172,88888240
1,0,3529.022216796875,0.0,1059.595703125,0.9994540810585022,0.03303813934326172,88888250
1,1,3528.487548828125,0.0,1060.328369140625,0.9994540810585022,0.03303813934326172,88888250
1,2,3528.97265625,0.0,1061.0948486328125,0.9994540810585022,0.03303813934326172,88888250
1,3,3528.43798828125,0.0,1061.82763671875,0.9994540810585022,0.03303813934326172,88888250
2,0,2413.90625,-0.08449142426252365,1128.8377685546875,0.9995372295379639,-0.030417807400226593,88888181
2,1,2413.419189453125,-0.08440107852220535,1129.6029052734375,0.9995372295379639,-0.030417807400226593,88888181
2,2,2413.951904296875,-0.08449142426252365,1130.3370361328125,0.9995372295379639,-0.030417807400226593,88888181
2,3,2413.46484375,-0.08440107852220535,1131.102294921875,0.9995372295379639,-0.030417807400226593,88888181
3,0,2432.86572265625,-0.08782856911420822,1132.53271484375,-0.9995372295379639,0.030417807400226593,88888190
3,1,2433.352783203125,-0.08791891485452652,1131.767578125,-0.9995372295379639,0.030417807400226593,88888190
3,2,2432.820068359375,-0.08782856911420822,1131.033447265625,-0.9995372295379639,0.030417807400226593,88888190
3,3,2433.30712890625,-0.08791891485452652,1130.2681884765625,-0.9995372295379639,0.030417807400226593,88888190
4,0,1209.97021484375,0.0,1504.6197509765625,0.6509349942207336,-0.7591334581375122,88888062
4,1,1210.20751953125,0.0,1505.4952392578125,0.6509349942207336,-0.7591334581375122,88888062
4,2,1211.10888671875,0.0,1505.59619140625,0.6509349942207336,-0.7591334581375122,88888062
4,3,1211.34619140625,0.0,1506.4715576171875,0.6509349942207336,-0.7591334581375122,88888062
5,0,1231.5855712890625,0.0,1485.9713134765625,-0.6509349942207336,0.7591334581375122,88888071
5,1,1231.3482666015625,0.0,1485.0958251953125,-0.6509349942207336,0.7591334581375122,88888071
5,2,1230.4468994140625,0.0,1484.994873046875,-0.6509349942207336,0.7591334581375122,88888071
5,3,1230.2095947265625,0.0,1484.1195068359375,-0.6509349942207336,0.7591334581375122,88888071
6,0,2409.992919921875,0.0,1595.77490234375,0.9999932050704956,-0.003712892532348633,88888180
6,1,2409.485595703125,0.0,1596.52685546875,0.9999932050704956,-0.003712892532348633,88888180
6,2,2409.998291015625,0.0,1597.27490234375,0.9999932050704956,-0.003712892532348633,88888180
6,3,2409.4912109375,0.0,1598.02685546875,0.9999932050704956,-0.003712892532348633,88888180
7,0,2438.220458984375,0.0,1599.940185546875,-0.9999932050704956,0.003712892532348633,88888250
7,1,2438.727783203125,0.0,1599.188232421875,-0.9999932050704956,0.003712892532348633,88888250
7,2,2438.215087890625,0.0,1598.440185546875,-0.9999932050704956,0.003712892532348633,88888250
7,3,2438.72216796875,0.0,1597.688232421875,-0.9999932050704956,0.003712892532348633,88888250
8,0,3597.540283203125,-0.0871858075261116,1570.892578125,0.9275403022766113,-0.37372127175331116,88888230
8,1,3597.347412109375,-0.08651164919137955,1571.77880859375,0.9275403022766113,-0.37372127175331116,88888230
8,2,3598.100830078125,-0.08718227595090866,1572.283935546875,0.9275403022766113,-0.37372127175331116,88888230
8,3,3597.907958984375,-0.0865081250667572,1573.170166015625,0.9275403022766113,-0.37372127175331116,88888230
9,0,3615.75732421875,-0.06400340050458908,1568.7528076171875,-0.9898636341094971,-0.1393570601940155,88888240
9,1,3616.36669921875,-0.05003633722662926,1568.0811767578125,-0.9898636341094971,-0.1393570601940155,88888240
9,2,3615.96630859375,-0.0639999508857727,1567.2674560546875,-0.9898636341094971,-0.1393570601940155,88888240
9,3,3616.575927734375,-0.05003289505839348,1566.5958251953125,-0.9898636341094971,-0.1393570601940155,88888240
10,0,2447.32080078125,0.0,1343.953369140625,-0.003588493913412094,0.9999935626983643,88888190
10,1,2446.572509765625,0.0,1343.440673828125,-0.003588493913412094,0.9999935626983643,88888190
10,2,2445.82080078125,0.0,1343.947998046875,-0.003588493913412094,0.9999935626983643,88888190
10,3,2445.072509765625,0.0,1343.435302734375,-0.003588493913412094,0.9999935626983643,88888190
11,0,2442.94775390625,0.0,1372.69580078125,0.003588493913412094,-0.9999935626983643,88888250
11,1,2443.696044921875,0.0,1373.20849609375,0.003588493913412094,-0.9999935626983643,88888250
11,2,2444.44775390625,0.0,1372.701171875,0.003588493913412094,-0.9999935626983643,88888250
11,3,2445.196044921875,0.0,1373.2138671875,0.003588493913412094,-0.9999935626983643,88888250
12,0,3743.26806640625,0.0,1622.2198486328125,0.9955760836601257,-0.09395968914031982,88888240
